handle,fieldType,name,visible,plainDescription,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_1,PRODUCT,Minimalist Tote Bag,TRUE,"<p>I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.</p>",,,Best Seller,,,,,,,,,,,,,,,,Color,SWATCH_CHOICES,#800080:purple;#FFFFFF:white,Size,TEXT_CHOICES,Small;Medium;Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,IN_STOCK,,,,364215375135191,,5,Color,SWATCH_CHOICES,white,Size,TEXT_CHOICES,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,12,,,,364215375135192,,5,Color,SWATCH_CHOICES,purple,Size,TEXT_CHOICES,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,15,,,,364215375135193,,5,Color,SWATCH_CHOICES,white,Size,TEXT_CHOICES,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,IN_STOCK,,,,364215375135194,,5,Color,SWATCH_CHOICES,purple,Size,TEXT_CHOICES,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,37,,,,364215375135195,,5,Color,SWATCH_CHOICES,purple,Size,TEXT_CHOICES,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,VARIANT,,TRUE,,,,,,20,25,,,,,13,IN_STOCK,,,,364215375135196,,5,Color,SWATCH_CHOICES,white,Size,TEXT_CHOICES,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,MEDIA,,,,https://static.wixstatic.com/media/22e53e_42cbfef4d7844bdc8e6e96844bba3a7d~mv2.jpg,Purple tote bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,MEDIA,,,,https://static.wixstatic.com/media/22e53e_62bd13962f8b4bbca47fba37ccd94be4~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1,MEDIA,,,,https://static.wixstatic.com/media/22e53e_955e8d39cbbf4531b8c953c7e9125d4d~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
